Testing,Parent,0,1,2,3,4,5,6,7,8
e1,e,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0
a,root,3.0,3.0,3.0,3.0,4.5,4.5,4.5,4.5,4.5
a23,a,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5
b1,b,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0
c2,c,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
e,root,3.0,3.0,3.0,3.0,1.5,1.5,3.0,3.0,3.0
b,root,3.0,3.0,3.0,3.0,1.5,1.5,3.0,3.0,3.0
d2,d,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2,b,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0
d3,d,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,a,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d23,d,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5
e2,e,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0
d,root,3.0,3.0,3.0,3.0,4.5,4.5,4.5,4.5,4.5
c,root,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5
f,root,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5
f2,f,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
f12,f,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0
c1,c,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,a,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b22,b,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
a1,a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
d1,d,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a22,a,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
f1,f,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e22,e,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
c12,c,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0
d22,d,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
